sr_no,member_name,state,party,term,vacation_reason,from_date,to_date,,
104,Anup Singh Dr.,Punjab,Congress,03/04/1964 02/04/1970,"28/01/1969
Death",03/04/64,02/04/70,,
105,Anwar Shri N.M.,Madras,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
106,Appan Shri G.A.,Madras,DMK,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
107,Apparow Shri M.R.,Andhra Pradesh,CONG(I),20/03/1981 02/04/1982,Retirement,20/03/81,02/04/82,,
108,Apte Shri Balavant alias Bal,Maharashtra,BJP,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
108,Apte Shri Balavant alias Bal,Maharashtra,BJP,03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
109,Apte Shri Devdas,Jharkhand,BJP,02/07/2002 09/04/2008,Retirement,02/07/02,09/04/08,,
110,Aram Dr. M.,Nominated,NOM.,27/08/1993 26/08/1999,"24/05/1997
Death",27/08/93,26/08/99,,
111,Arif Shri Mohammed Usman,Rajasthan,Congress,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
111,Arif Shri Mohammed Usman,Rajasthan,Congress,03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
111,Arif Shri Mohammed Usman,Rajasthan,Congress,03/04/1982 02/04/1988,"31/03/1985
Resignation",03/04/82,02/04/88,,
112,Arjunan Shri K. R.,Tamil Nadu,AIADMK,25/07/2013 24/07/2019,Retirement,25/07/13,24/07/19,,
113,Arora Shri Arjun,Uttar Pradesh,Congress,01/08/1960 02/04/1966,Retirement,01/08/60,02/04/66,,
113,Arora Shri Arjun,Uttar Pradesh,Congress,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
114,Arun Singh Shri,Uttar Pradesh,INC,03/04/1984 02/04/1990,"17/08/1988
Resignation",03/04/84,02/04/90,,
115,Arundale Smt. Rukmini Devi,Nominated,NOM.,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
115,Arundale Smt. Rukmini Devi,Nominated,NOM.,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
116,Arya Shri Kumbha Ram,Rajasthan,Congress,03/04/1960 26/10/1964,Retirement,03/04/60,26/10/64,,
116,Arya Shri Kumbha Ram,Rajasthan,Congress,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
117,Arya Shri R.N.,Uttar Pradesh,BSP,26/11/1996 25/11/2002,Retirement,26/11/96,25/11/02,,
118,Ashk Ali Tak Shri,Rajasthan,INC,05/07/2010 04/07/2016,Retirement,05/07/10,04/07/16,,
119,Ashwani Kumar Shri,Punjab,INC,21/05/2002 09/04/2004,Retirement,21/05/02,09/04/04,,
119,Ashwani Kumar Shri,Punjab,INC,10/04/2004 09/04/2010,Retirement,10/04/04,09/04/10,,
119,Ashwani Kumar Shri,Punjab,INC,10/04/2010 09/04/2016,Retirement,10/04/10,09/04/16,,
120,Ashwani Kumar Shri,Bihar,BJP,07/07/1980 06/07/1986,Retirement,07/07/80,06/07/86,,
120,Ashwani Kumar Shri,Bihar,BJP,07/07/1986 06/07/1992,Retirement,07/07/86,06/07/92,,
121,Aslam Chowdhary Mohammad,Jammu & Kashmir,INC,20/06/2006 29/11/2008,Retirement,20/06/06,29/11/08,,
122,Asthana Shri K.B.,Uttar Pradesh,JP,14/07/1977 02/04/1980,Retirement,14/07/77,02/04/80,,
123,Asthana Shri Lila Dhar,Uttar Pradesh,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
124,Atwal Shri Surjit Singh,Punjab,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
125,Aurora Sardar Jagjit Singh,Punjab,AD,05/07/1986 04/07/1992,Retirement,05/07/86,04/07/92,,
126,Austin Shri S.,Tamil Nadu,AIADMK,30/06/1992 29/06/1998,Retirement,30/06/92,29/06/98,,
127,Avergoankar Shri R.D. Jagtap,Maharashtra,CONG(I),03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
128,Ayyangar Shri Narasimha Gopalaswami,Madras,Congress,03/04/1952 02/04/1956,"10/02/1953
Death",03/04/52,02/04/56,,
129,Ayyar Shri Alladi Krishnaswami,Nominated,NOM.,03/04/1952 02/04/1958,"03/10/1953
Death",03/04/52,02/04/58,,
130,Azad Shri Gandhi,Uttar Pradesh,BSP,26/11/1996 25/11/2002,Retirement,26/11/96,25/11/02,,
130,Azad Shri Gandhi,Uttar Pradesh,BSP,26/11/2002 25/11/2008,Retirement,26/11/02,25/11/08,,
131,Azmi Shri Abu Asim,Uttar Pradesh,SP,26/11/2002 25/11/2008,Retirement,26/11/02,25/11/08,,
