s_no,member_name,state,party,term,vacate_reason
66,Satchidananda Shri,Karnataka,CONG(I),10/04/1978 09/04/1984,Retirement
66,Satchidananda Shri,Karnataka,CONG(I),04/09/1991 02/04/1992,Retirement
66,Satchidananda Shri,Karnataka,CONG(I),03/04/1992 02/04/1998,Retirement
67,Sathe Smt. Tara Ramchandra,Maharashtra,Congress,03/04/1962 02/04/1968,Retirement
68,Satpathy Smt. Nandini,Odisha,Congress,03/04/1962 02/04/1968,Retirement
68,Satpathy Smt. Nandini,Odisha,Congress,03/04/1968 02/04/1974,"29/11/1972
Resignation"
69,Satya Bahin Smt.,Uttar Pradesh,CONG(I),03/04/1988 02/04/1994,Retirement
70,Satyacharan Shri,Uttar Pradesh,Congress,03/04/1960 02/04/1966,"13/08/1963
Death"
71,Satyanarayana Shri Moturi,Nominated,NOM.,03/04/1954 02/04/1960,Retirement
71,Satyanarayana Shri Moturi,Nominated,NOM.,03/04/1960 02/04/1966,Retirement
72,Satyanarayana Shri Venigalla,Andhra Pradesh,Congress,03/04/1970 02/04/1976,Retirement
72,Satyanarayana Shri Venigalla,Andhra Pradesh,Congress,03/04/1976 02/04/1982,"20/10/1980
Death"
73,Satyavrata Siddhantalankar Prof.,Nominated,NOM.,25/11/1964 02/04/1968,Retirement
74,Savita Behen Smt.,National Capital Territory of Delhi,Congress,03/04/1972 02/04/1978,Retirement
75,Savnekar Shri B.S.,Maharashtra,Congress,28/06/1960 02/04/1966,Retirement
75,Savnekar Shri B.S.,Maharashtra,Congress,03/04/1966 02/04/1972,Retirement
76,Sayeed Shri Mufti Mohamad,Jammu & Kashmir,Congress,22/10/1986 21/10/1992,"28/07/1989
Disqualification"
76,Sayeed Shri Mufti Mohamad,Uttar Pradesh,JD,05/07/1992 04/07/1998,"29/07/1996
Resignation"
77,Sayeed Shri P.M.,National Capital Territory of Delhi,INC,10/08/2004 18/12/2005,"18/12/2005
Death"
78,Schamnad Shri Hamid Ali,Kerala,ML,05/02/1970 21/04/1973,Retirement
78,Schamnad Shri Hamid Ali,Kerala,ML,22/04/1973 21/04/1979,Retirement
79,Scindia Smt. Vijaya Raje,Madhya Pradesh,JD,10/04/1978 09/04/1984,Retirement
79,Scindia Smt. Vijaya Raje,Madhya Pradesh,BJP,10/04/1984 09/04/1990,"27/11/1989
Elected to Lok Sabha"
80,Sebastian Shri K.C.,Kerala,Congress,22/04/1979 21/04/1985,Retirement
81,Seelam Shri Jesudasu,Andhra Pradesh,INC,22/06/2004 21/06/2010,Retirement
81,Seelam Shri Jesudasu,Andhra Pradesh,INC,22/06/2010 21/06/2016,Retirement
82,Seema Dr. T.N.,Kerala,CPI(M),03/04/2010 02/04/2016,Retirement
83,Seeta Yudhvir Smt.,Andhra Pradesh,Congress,03/04/1958 02/04/1964,Retirement
83,Seeta Yudhvir Smt.,Andhra Pradesh,Congress,03/04/1964 02/04/1970,Retirement
84,Seetharama Lakshmi Smt. Thota,Andhra Pradesh,TDP,10/04/2014 09/04/2020,Retirement
85,Sekhar Shri N.C.,Travancore Cochin,CPI,03/04/1954 02/04/1960,Retirement
86,Selja Kumari,Haryana,INC,10/04/2014 09/04/2020,Retirement
87,Selvaganapathi Shri T.M.,Tamil Nadu,DMK,30/06/2010 29/06/2016,"17/04/2014
Disqualification"
88,Selvan Shri Thanga Tamil,Tamil Nadu,AIADMK,03/04/2002 02/04/2008,Retirement
89,Selvaraj Shri A. K.,Tamil Nadu,AIADMK,03/04/2014 02/04/2020,Retirement
90,Sema Shri Hokishe,Nagaland,CONG(I),03/04/1986 02/04/1992,"04/05/1987
Resignation"
91,Sen Shri Ashis,West Bengal,CPI(M),03/04/1988 02/04/1994,Retirement
92,Sen Shri Ashoke Kumar,West Bengal,JD,03/04/1990 02/04/1996,Retirement
93,Sen Shri Mrinal,Nominated,NOM.,27/08/1997 26/08/2003,Retirement
94,Sen Shri Sukomal,West Bengal,CPI(M),03/04/1982 02/04/1988,Retirement
94,Sen Shri Sukomal,West Bengal,CPI(M),03/04/1998 02/04/1994,Retirement
95,Sen Shri Tapan Kumar,West Bengal,CPI(M),03/04/2006 02/04/2012,Retirement
95,Sen Shri Tapan Kumar,West Bengal,CPI(M),03/04/2012 02/04/2018,Retirement
96,Sen Dr. Triguna,Tripura,Congress,27/04/1967 02/04/1968,Retirement
96,Sen Dr. Triguna,Tripura,Congress,03/04/1968 02/04/1974,Retirement
97,Sen Gupta Shri Dwijendralal,West Bengal,IND.,03/04/1964 02/04/1970,Retirement
97,Sen Gupta Shri Dwijendralal,West Bengal,IND.,03/04/1970 02/04/1976,Retirement
98,Sengupta Shri Arjun Kumar,West Bengal,IND.,19/08/2005 18/08/2011,"26/09/2010
Death"
99,Sengupta Shri Bratin,West Bengal,CPI(M),03/04/1996 02/04/2002,Retirement
100,Setalvad Shri M.C.,Nominated,NOM.,03/04/1966 02/04/1972,Retirement
101,Sethi Shri Ananta,Odisha,Congress,03/04/1996 02/04/2002,Retirement
102,Sethi Shri P.C.,Madhya Pradesh,Congress,02/02/1961 02/04/1964,Retirement
102,Sethi Shri P.C.,Madhya Pradesh,Congress,03/04/1964 02/04/1970,"20/02/1967
Elected to Lok Sabha"
102,Sethi Shri P.C.,Madhya Pradesh,CONG(I),03/04/1976 02/04/1982,"07/01/1980
Elected to Lok Sabha"
103,Seyid Muhammad Dr. V.A.,Kerala,Congress,22/04/1973 21/04/1979,"21/03/1977
Elected to Lok Sabha"
104,Seziyan Shri Era,Tamil Nadu,JAN,03/04/1978 02/04/1984,Retirement
105,Shafi Shri Mohammad,Jammu & Kashmir,J&KNC,16/02/2009 15/02/2015,"12/01/2015
Resignation"
106,Shah Shri Amit Anil Chandra,Gujarat,BJP,19/08/2017 18/08/2023,"23/05/2019
Elected to Lok Sabha"
107,Shah Shri Bhogilal Maganlal,Saurashtra,Congress,03/04/1952 02/04/1956,Retirement
108,Shah Shri Kodardas Kakudas,Bombay,Congress,03/04/1960 02/04/1966,Retirement
108,Shah Shri Kodardas Kakudas,Bombay,Congress,03/04/1966 02/04/1972,"22/05/1971
Resignation"
109,Shah Shri Maneklal Chunilal,Gujarat,Congress,03/04/1962 02/04/1968,"02/04/1968
Retirement"
110,Shah Shri Manilal Chaturbhai,Bombay,Congress,03/04/1952 02/04/1956,Retirement
110,Shah Shri Manilal Chaturbhai,Bombay,INC,03/04/1956 02/04/1962,"09/01/1960
Death"
111,Shah Shri Manubhai,Gujarat,Congress,03/04/1956 02/04/1962,"12/03/1957
Elected to Lok Sabha"
111,Shah Shri Manubhai,Gujarat,Congress,03/04/1970 02/04/1976,Retirement
112,Shah Shri Meghjibhai Pethraj,Bombay,Congress,03/04/1956 02/04/1962,"26/07/1957
Resignation"
113,Shah Shri Viren J.,Gujarat,IND.,14/08/1975 13/08/1981,Retirement
113,Shah Shri Viren J.,Maharashtra,BJP,03/04/1990 02/04/1996,Retirement
114,Shahabuddin Shri Syed,Bihar,JAN,25/07/1979 09/04/1984,Retirement
115,Shahedullah Shri Syed,West Bengal,CPI(M),03/04/1978 02/04/1984,Retirement
116,Shahi Shri Nageshwar Prasad,Uttar Pradesh,Socialist,03/04/1970 02/04/1976,Retirement
116,Shahi Shri Nageshwar Prasad,Uttar Pradesh,JAN,03/04/1976 02/04/1982,Retirement
117,Shanappa Shri K.B.,Karnataka,BJP,03/04/2006 02/04/2012,Retirement
118,Shanta Kumar Shri,Himachal Pradesh,BJP,10/04/2008 09/04/2014,Retirement
119,Shanti Bhushan Shri,Uttar Pradesh,JAN,14/07/1977 02/04/1980,Retirement
120,Shanti Devi Smt.,Uttar Pradesh,O,27/04/1961 02/04/1962,Retirement
121,Sharama Smt. Manorama D.,Uttarakhand,INC,26/11/2014 25/11/2020,"18/02/2015
Death"
122,Sharda Smt. Savita,Gujarat,BJP,19/08/1999 18/08/2005,Retirement
123,Shariq Shri Sharief Ud-Din,Jammu & Kashmir,J&KNC,02/04/1980 10/11/1984,"10/11/1984
Retirement"
123,Shariq Shri Sharief Ud-Din,Jammu & Kashmir,J&KNC,30/11/1996 29/11/2002,"26/10/2002
Resignation"
124,Sharma Shri Ajit Kumar,Assam,JAN,10/04/1978 09/04/1984,Retirement
125,Sharma Shri Anant Prasad,Bihar,Congress,03/04/1968 02/04/1974,"11/03/1971
Elected to Lok Sabha"
125,Sharma Shri Anant Prasad,Bihar,CONG(I),10/04/1978 09/04/1984,"19/02/1983
Resignation"
125,Sharma Shri Anant Prasad,Bihar,CONG(I),22/08/1984 02/04/1988,Retirement
126,Sharma Shri Anil,Himachal Pradesh,HVC,03/04/1998 02/04/2004,Retirement
127,Sharma Shri Balkrishna,Uttar Pradesh,Congress,13/12/1956 12/12/1962,"29/04/1960
Death"
128,Sharma Shri Bhagwat Dayal,Haryana,Congress,02/08/1968 01/08/1974,Retirement
129,Sharma Shri Braj Bihari,Uttar Pradesh,Congress,03/04/1952 02/04/1954,Retirement
129,Sharma Shri Braj Bihari,Uttar Pradesh,Congress,03/04/1954 02/04/1960,Retirement
130,Sharma Shri Chandan,Himachal Pradesh,CONG(I),03/04/1986 02/04/1992,Retirement
131,Sharma Dr. H.P.,Rajasthan,CONG(I),02/07/1985 02/04/1988,Retirement
132,Sharma Shri Kishan Lal,Rajasthan,CONG(I),03/04/1974 02/04/1980,Retirement
133,Sharma Shri Krishan Lal,Himachal Pradesh,BJP,10/04/1990 09/04/1996,Retirement
134,Sharma Shri Laimayum Lalit Madhob,Manipur,Congress,01/12/1956 02/04/1960,Retirement
134,Sharma Shri Laimayum Lalit Madhob,Manipur,Congress,03/04/1960 02/04/1966,"02/11/1964
Death"
135,Sharma Shri Laxminarayan,Madhya Pradesh,BJP,30/06/2004 29/06/2010,"17/10/2008
Death"
136,Sharma Shri Madho Ram,Punjab,Congress,03/04/1958 02/04/1964,Retirement
137,Sharma Dr. Mahesh Chandra,Rajasthan,BJP,10/04/1996 09/04/2002,Retirement
138,Sharma Smt. Malti,Uttar Pradesh,BJP,03/04/1994 02/04/2000,Retirement
139,Sharma Shri Purna Chandra,Assam,Congress,03/04/1956 02/04/1962,Retirement
140,Sharma Shri Raghunandan,Madhya Pradesh,BJP,10/04/2008 09/04/2014,Retirement
141,Sharma Shri Satish,Madhya Pradesh,CONG(I),30/06/1986 29/06/1992,"18/11/1991
Elected to Lok Sabha"
141,Sharma Shri Satish,Uttarakhand,INC,05/07/2004 04/07/2010,Retirement
141,Sharma Shri Satish,Uttar Pradesh,INC,05/07/2010 04/07/2016,Retirement
142,Sharma Shri Venod Kumar,Punjab,CONG(I),10/04/1992 09/04/1998,Retirement
143,Sharma Shri Yogendra,Bihar,CPI,10/04/1972 09/04/1978,Retirement
143,Sharma Shri Yogendra,Bihar,CPI,10/04/1978 09/04/1984,Retirement
144,Sharmah Shri Dwijendra Nath,Assam,INC,10/04/2002 09/04/2008,Retirement
145,Shastri Pandit Algurai,Uttar Pradesh,Congress,13/12/1956 12/12/1962,"24/04/1958
Resignation"
146,Shastri Shri Bhola Paswan,Bihar,Congress,31/05/1972 02/04/1976,Retirement
146,Shastri Shri Bhola Paswan,Bihar,Congress,03/04/1976 02/04/1982,Retirement
147,Shastri Shri Brahmdeo Ram,Bihar,JAN,25/07/1979 02/04/1980,Retirement
148,Shastri Shri Lal Bahadur,Uttar Pradesh,Congress,03/04/1952 02/04/1954,Retirement
148,Shastri Shri Lal Bahadur,Uttar Pradesh,Congress,03/04/1954 02/04/1960,"13/03/1957
Elected to Lok Sabha"
149,Shastri Shri Prakash Veer,Uttar Pradesh,JS,03/04/1974 02/04/1980,"23/11/1977
Death"
150,Shastri Shri Sunil,Uttar Pradesh,BJP,22/05/2002 25/11/2002,Retirement
151,Shastri Shri Vishnu Kant,Uttar Pradesh,BJP,05/07/1992 04/07/1998,Retirement
152,Shawl Shri Gulam Mohi-Ud-Din,Jammu & Kashmir,J&KNC,16/04/1980 15/04/1986,Retirement
153,Sheikh Shri Abdul Rehman,Uttar Pradesh,JAN,03/04/1978 02/04/1984,Retirement
154,Sheikh Shri Ghouse Mohiuddin,Andhra Pradesh,CONG(I),10/04/1978 09/04/1984,Retirement
155,Shejwalkar Shri Narayanrao Krishnarao,Madhya Pradesh,JS,03/04/1968 02/04/1974,Retirement
156,Shekhawat Shri Bhairon Singh,Madhya Pradesh,JS,03/04/1974 02/04/1980,"05/12/1977
Resignation"
157,Sherkhan Shri M.,Mysore,Congress,09/03/1961 02/04/1964,Retirement
157,Sherkhan Shri M.,Mysore,Congress,03/04/1964 02/04/1970,Retirement
157,Sherkhan Shri M.,Mysore,Congress,30/03/1970 02/04/1972,Retirement
158,Shervani Shri Mustafa Rashid,Uttar Pradesh,Congress,03/04/1960 02/04/1966,Retirement
158,Shervani Shri Mustafa Rashid,Uttar Pradesh,Congress,03/04/1966 02/04/1972,Retirement
158,Shervani Shri Mustafa Rashid,Uttar Pradesh,CONG(I),05/07/1980 04/07/1986,"08/04/1981
Death"
159,Shetty Shri B.P. Basappa,Mysore,Congress,03/04/1952 02/04/1958,Retirement
159,Shetty Shri B.P. Basappa,Mysore,Congress,03/04/1958 02/04/1964,Retirement
160,Shilla Shri Showaless K.,Meghalaya,Congress,13/04/1972 12/04/1978,Retirement
161,Shinde Shri Sushilkumar Sambhajirao,Maharashtra,CONG(I),05/07/1992 02/03/1998,"02/03/1998
Resignation"
161,Shinde Shri Sushilkumar Sambhajirao,Maharashtra,INC,03/04/2006 02/04/2012,"16/05/2009
Elected to Lok Sabha"
162,Shirodkar Shri Adhik,Maharashtra,SS,03/04/1996 02/04/2002,Retirement
163,Shishir Kumar Shri,Bihar,PSP,03/04/1964 02/04/1970,Retirement
163,Shishir Kumar Shri,Bihar,PSP,03/04/1970 02/04/1976,Retirement
164,Shiv Shanker Shri P.,Gujarat,CONG(I),10/05/1985 13/08/1987,Retirement
164,Shiv Shanker Shri P.,Gujarat,CONG(I),14/08/1987 13/08/1993,Retirement
165,Shourie Shri Arun,Uttar Pradesh,BJP,05/07/1998 04/07/2004,Retirement
165,Shourie Shri Arun,Uttar Pradesh,BJP,05/07/2004 04/07/2010,Retirement
166,Shrimali Dr. K.L.,Rajasthan,Congress,03/04/1952 02/04/1956,Retirement
166,Shrimali Dr. K.L.,Rajasthan,Congress,03/04/1956 02/04/1962,"01/03/1962
Elected to Lok Sabha"
167,Shukla Shri Chakrapani,Madhya Pradesh,Congress,08/02/1966 02/04/1970,Retirement
167,Shukla Shri Chakrapani,Madhya Pradesh,Congress,03/04/1970 02/04/1976,Retirement
168,Shukla Shri Chimanbhai Haribhai,Gujarat,BJP,19/08/1993 18/08/1999,Retirement
169,Shukla Shri Keshavprasad,Madhya Pradesh,CONG(I),03/04/1982 02/04/1988,Retirement
170,Shukla Shri Mahavir Prasad,Uttar Pradesh,Congress,19/04/1962 02/04/1964,Retirement
170,Shukla Shri Mahavir Prasad,Uttar Pradesh,Congress,03/04/1964 02/04/1970,Retirement
170,Shukla Shri Mahavir Prasad,Uttar Pradesh,Congress,03/04/1970 02/04/1976,Retirement
171,Shukla Shri Rajeev,Uttar Pradesh,ABLC,03/04/2000 02/04/2006,Retirement
171,Shukla Shri Rajeev,Maharashtra,INC,03/04/2006 02/04/2012,Retirement
171,Shukla Shri Rajeev,Maharashtra,INC,03/04/2012 02/04/2018,Retirement
172,Shunmugasundaram Shri R.,Tamil Nadu,DMK,03/04/2002 02/04/2008,Retirement
173,Shyam Lal Shri,Uttar Pradesh,BJP,16/02/2001 25/11/2002,"25/11/2002
Retirement"
174,Shyamkumari Devi Smt.,Madhya Pradesh,Congress,03/04/1968 02/04/1974,Retirement
174,Shyamkumari Devi Smt.,Madhya Pradesh,Congress,03/04/1974 02/04/1980,Retirement
175,Siddalingaya Shri T.,Mysore,Congress,03/05/1967 02/04/1970,Retirement
176,Siddhu Dr. M.M.S.,Uttar Pradesh,Congress,03/04/1962 02/04/1968,Retirement
176,Siddhu Dr. M.M.S.,Uttar Pradesh,JAN,18/07/1977 02/04/1978,Retirement
176,Siddhu Dr. M.M.S.,Uttar Pradesh,JAN,03/04/1978 02/04/1984,Retirement
177,Siddiqui Shri Abdul Samad,Karnataka,JD,03/04/1988 02/04/1994,Retirement
178,Siddiqui Shri Shahid,Uttar Pradesh,SP,26/11/2002 25/11/2008,Retirement
179,Siddiqui Shri Shamim Ahmed,National Capital Territory of Delhi,CONG(I),21/11/1983 20/11/1989,Retirement
180,Sidhu Shri Navjot Singh,Nominated,BJP,25/04/2016 24/04/2022,"18/07/2016
Resignation"
181,Silvera Dr. C.,Mizoram,CONG(I),17/07/1984 16/07/1990,"28/11/1989
Elected to Lok Sabha"
182,Singh Shri Ajit Pratap,Uttar Pradesh,JS,03/04/1958 02/04/1962,"28/02/1962
Elected to Lok Sabha"
183,Singh Shri Arjun,Madhya Pradesh,INC,03/04/2000 02/04/2006,Retirement
183,Singh Shri Arjun,Madhya Pradesh,INC,03/04/2006 02/04/2012,"04/03/2011
Death"
184,Singh Shri Arvind Kumar,Uttar Pradesh,SP,20/04/2012 04/07/2016,"06/06/2016
Resignation"
185,Singh Captain Awadesh Pratap,Vindhya Pradesh,Congress,03/04/1952 02/04/1954,Retirement
185,Singh Captain Awadesh Pratap,Vindhya Pradesh,Congress,03/04/1954 02/04/1960,Retirement
186,Singh Shri Bhagwati,Uttar Pradesh,SP,05/07/2004 04/07/2010,Retirement
187,Singh Thakur Bhannu Pratap,Madhya Pradesh,Congress,03/04/1952 02/04/1954,Retirement
187,Singh Thakur Bhannu Pratap,Madhya Pradesh,Congress,03/04/1954 02/04/1960,Retirement
187,Singh Thakur Bhannu Pratap,Madhya Pradesh,Congress,03/04/1960 02/04/1966,Retirement
188,Singh Shri Bhanu Pratap,Uttar Pradesh,BLD,03/04/1976 02/04/1982,Retirement
189,Singh Shri Bhishma Narain,Bihar,Congress,03/04/1976 02/04/1982,Retirement
189,Singh Shri Bhishma Narain,Bihar,CONG(I),03/04/1982 02/04/1988,"15/04/1984
Resignation"
190,Singh Shri Bhupinder,Odisha,BJD,26/06/2014 01/07/2016,Retirement
191,Singh Shri Bindeshwari Prasad,Bihar,Congress,17/06/1971 02/04/1974,Retirement
192,Singh Shri Bir Bahadur,Uttar Pradesh,CONG(I),22/11/1988 02/04/1990,"30/05/1989
Death"
193,Singh Shri Bir Bhadra Pratap,Uttar Pradesh,CONG(I),03/04/1984 02/04/1990,Retirement
194,Singh Shri Birabhadra,Odisha,BJD,04/04/2000 03/04/2006,Retirement
195,Singh Chaudhary Birender,Haryana,INC,02/08/2010 01/08/2016,"28/08/2014
Resignation"
195,Singh Chaudhary Birender,Haryana,BJP,29/11/2014 01/08/2016,Retirement
195,Singh Chaudhary Birender,Haryana,BJP,02/08/2016 01/08/2022,"20/01/2020
Resignation"
196,Singh Shri D.P.,Bihar,Congress,17/06/1971 02/04/1972,Retirement
196,Singh Shri D.P.,Bihar,Congress,10/04/1972 09/04/1978,Retirement
197,Singh Shri Dara,Nominated,BJP,27/08/2003 26/08/2009,Retirement
198,Singh Shri Devendra Prasad,Bihar,PSP,03/04/1958 02/04/1964,Retirement
199,Singh Shri Devi Prasad,Uttar Pradesh,BJP,26/11/1996 25/11/2002,Retirement
200,Singh Shri Digvijay,Bihar,JD,10/04/1990 09/04/1996,Retirement
200,Singh Shri Digvijay,Jharkhand,JD(U),06/06/2005 07/07/2010,"05/04/2009
Resignation"
201,Singh Shri Digvijaya,Madhya Pradesh,INC,10/04/2014 09/04/2020,Retirement
202,Singh Shri Gaya,Bihar,CPI,08/07/1992 07/07/1998,Retirement
202,Singh Shri Gaya,Bihar,CPI,08/07/1998 07/07/2004,Retirement
203,Singh Shri Ghan Shyam,Uttar Pradesh,CONG(I),03/04/1982 02/04/1988,Retirement
204,Singh Babu Gopinath,Uttar Pradesh,Congress,03/04/1952 02/04/1954,Retirement
204,Singh Babu Gopinath,Uttar Pradesh,Congress,03/04/1954 02/04/1960,Retirement
205,Singh Shri Irengbam Tompok,Manipur,Congress,18/06/1974 09/04/1978,Retirement
206,Singh Shri Isam,Uttar Pradesh,BSP,26/11/2002 25/11/2008,"04/07/2008
Disqualification"
207,Singh Shri Ishwar,Haryana,INC,10/04/2008 09/04/2014,"04/03/2014
Resignation"
208,Singh Shri J.K.P.N.,Bihar,Congress,03/04/1962 02/04/1968,Retirement
208,Singh Shri J.K.P.N.,Bihar,CONG(I),10/04/1978 09/04/1984,Retirement
209,Singh Shri Jagannath,Madhya Pradesh,BJP,30/06/1992 29/06/1998,"03/03/1998
Elected to Lok Sabha"
210,Singh Smt. Jahanara Jaipal,Bihar,Congress,03/04/1958 02/04/1964,Retirement
210,Singh Smt. Jahanara Jaipal,Bihar,Congress,03/04/1964 02/04/1970,Retirement
210,Singh Smt. Jahanara Jaipal,Bihar,Congress,10/04/1972 09/04/1978,Retirement
211,Singh Shri Jai Prakash Narayan,Jharkhand,BJP,10/04/2008 09/04/2014,Retirement
212,Singh Shri Jaswant,Rajasthan,IND.,03/04/1956 02/04/1962,Retirement
213,Singh Shri Jaswant,Rajasthan,BJP,05/07/1980 04/07/1986,Retirement
213,Singh Shri Jaswant,Rajasthan,BJP,05/07/1986 04/07/1992,"27/11/1989
Retirement"
213,Singh Shri Jaswant,Rajasthan,BJP,05/07/1998 04/07/2004,Retirement
213,Singh Shri Jaswant,Rajasthan,BJP,05/07/2004 04/07/2010,"16/05/2009
Elected to Lok Sabha"
214,Singh Shri K. Bhabananda,Manipur,BJP,29/05/2017 09/04/2020,Retirement
215,Singh Shri K.N.,Uttar Pradesh,CONG(I),03/04/1990 02/04/1996,Retirement
216,Singh Thakur Kamakhya Prasad,Bihar,CONG(I),10/04/1984 09/04/1990,Retirement
217,Singh Shri Kameshwar,Bihar,Congress,03/04/1974 02/04/1980,Retirement
218,Singh Shri Kameshwara,Bihar,IND.,03/04/1952 02/04/1958,Retirement
218,Singh Shri Kameshwara,Bihar,IND.,03/04/1960 02/04/1966,"01/10/1962
Death"
219,Singh Smt. Kanak Lata,Uttar Pradesh,SP,14/12/2013 04/07/2016,Retirement
220,Singh Dr. Kanwar Deep,Jharkhand,AITC,08/07/2010 07/07/2016,"19/02/2014
Resignation"
220,Singh Dr. Kanwar Deep,West Bengal,AITC,03/04/2014 02/04/2020,Retirement
221,Singh Shri Mahendra Bahadur,Madhya Pradesh,Congress,10/04/1972 09/04/1978,Retirement
222,Singh Smt. Maya,Madhya Pradesh,BJP,10/04/2002 09/04/2008,
222,Singh Smt. Maya,Madhya Pradesh,BJP,10/04/2008 09/04/2014,"23/12/2013
Resignation"
223,Singh Shri Mohan,Uttar Pradesh,SP,05/07/2010 04/07/2016,"22/09/2013
Death"
224,Singh Shri Mohan,Uttar Pradesh,INC,01/08/1989 02/04/1990,Retirement
225,Singh Shri Mohan,Punjab,INC,03/04/1960 02/04/1966,Retirement
225,Singh Shri Mohan,Punjab,INC,10/04/1972 09/04/1978,Retirement
226,Singh Shri N. K.,Bihar,JD(U),10/04/2008 09/04/2014,Retirement
227,Singh Prof. Naunihal,Uttar Pradesh,BJP,05/07/1992 04/07/1998,Retirement
228,Singh Shri Ng. Tompok,Manipur and Tripura,Congress,03/04/1954 02/04/1956,Retirement
228,Singh Shri Ng. Tompok,Manipur and Tripura,JAN,10/04/1978 09/04/1984,Retirement
229,Singh Smt. Pratibha,Bihar,Congress,31/12/1970 02/04/1976,Retirement
229,Singh Smt. Pratibha,Bihar,Congress,03/04/1976 02/04/1982,Retirement
229,Singh Smt. Pratibha,Bihar,CONG(I),03/04/1982 02/04/1988,Retirement
229,Singh Smt. Pratibha,Bihar,CONG(I),03/04/1988 06/07/1992,Retirement
230,Singh Shri R.C.,West Bengal,CPI,25/06/2008 02/04/2012,Retirement
231,Singh Shri R.K. Dorendra,Manipur,CONG(I),20/09/1988 09/04/1990,"12/03/1990
Resignation"
232,Singh Shri R.K. Jaichandra,Manipur,CONG(I),10/04/1984 09/04/1990,"12/07/1988
Resignation"
233,Singh Shri Raj Nath,Uttar Pradesh,BJP,03/04/1994 02/04/2000,Retirement
233,Singh Shri Raj Nath,Uttar Pradesh,BJP,03/04/2000 02/04/2006,"19/04/2001
Resignation"
233,Singh Shri Raj Nath,Uttar Pradesh,BJP,26/11/2002 25/11/2008,Retirement
234,Singh Shri Ram Awadhesh,Bihar,LD,07/07/1986 06/07/1992,Retirement
235,Singh Shri Ram Kripal,Uttar Pradesh,Congress,03/04/1952 02/04/1956,Retirement
235,Singh Shri Ram Kripal,Uttar Pradesh,Congress,03/04/1956 02/04/1962,"14/03/1961
Death"
236,Singh Dr. Ranbir,Uttar Pradesh,BJP,03/04/1994 02/04/2000,Retirement
237,Singh Dr. Rudra Pratap,Uttar Pradesh,CONG(I),05/07/1980 04/07/1986,Retirement
237,Singh Dr. Rudra Pratap,Uttar Pradesh,CONG(I),05/07/1986 04/07/1992,Retirement
238,Singh Shri Sawai Man,Rajasthan,IND.,03/04/1962 02/04/1968,"08/11/1965
Resignation"
239,Singh Shri Shankar Dayal,Bihar,JD,10/04/1990 09/04/1996,"26/11/1995
Death"
240,Singh Shri Shankar Pratap,Madhya Pradesh,Congress,03/04/1966 02/04/1972,Retirement
241,Singh Shri Shiv Swaroop,Uttar Pradesh,Congress,31/12/1970 02/04/1972,Retirement
242,Singh Shri Shiva Nandan,Uttar Pradesh,JAN,20/03/1978 02/04/1980,Retirement
243,Singh Shri Shivcharan,Rajasthan,BJP,05/07/1992 04/07/1998,Retirement
244,Singh Shri Shivpratap,Chhattisgarh,BJP,10/04/2008 09/04/2014,Retirement
245,Singh Shri Sinam Krishnamohan,Manipur,Congress,13/01/1965 02/04/1966,Retirement
245,Singh Shri Sinam Krishnamohan,Manipur,Congress,03/04/1966 02/04/1972,Retirement
246,Singh Shri Surendra Kumar,Madhya Pradesh,CONG(I),10/04/1996 31/10/2000,Retirement
246,Singh Shri Surendra Kumar,Chhattisgarh,CONG(I),01/11/2000 09/04/2002,Retirement
247,Singh Sardar Tarlochan,Haryana,IND.,02/08/2004 01/08/2010,Retirement
248,Singh Shri Tribhuvan Narayan,Uttar Pradesh,CONG(O),08/01/1965 02/04/1970,Retirement
248,Singh Shri Tribhuvan Narayan,Uttar Pradesh,CONG(O),03/04/1970 02/04/1976,Retirement
249,Singh Shri Uday Pratap,Uttar Pradesh,SP,26/11/2002 25/11/2008,Retirement
250,Singh Dr. V.B.,Uttar Pradesh,Congress,03/04/1972 02/04/1978,Retirement
251,Singh Shri Vishvjit P.,Maharashtra,CONG(I),03/04/1982 02/04/1988,Retirement
251,Singh Shri Vishvjit P.,Maharashtra,CONG(I),03/04/1988 02/04/1994,Retirement
252,Singh Shri Vishwanath Pratap,Uttar Pradesh,CONG(I),23/07/1983 02/04/1988,Retirement
253,Singh Shri W. Angou,Manipur,CONG(I),10/04/1996 09/04/2002,Retirement
254,Singh Shri W. Kulabidhu,Manipur,JD,13/06/1990 09/04/1996,Retirement
255,Singh 'Surya' Shri Rajnath,Uttar Pradesh,BJP,26/11/1996 25/11/2002,Retirement
256,Singh Lalan Shri Rajiv Ranjan,Bihar,SAMATA,03/04/2000 02/04/2006,"13/05/2004
Elected to Lok Sabha"
257,Singhal Shri B.P.,Uttar Pradesh,BJP,05/07/1998 04/07/2004,Retirement
258,Singhvi Dr. L.M.,Rajasthan,BJP,05/07/1998 04/07/2004,Retirement
259,Singla Shri Surinder Kumar,Punjab,CONG(I),10/04/1992 09/04/1998,Retirement
260,Sinh Dr. Sanjay,Uttar Pradesh,JD,13/07/1990 02/04/1996,Retirement
260,Sinh Dr. Sanjay,Assam,INC,10/04/2014 09/04/2020,"30/07/2019
Resignation"
261,Sinha Shri Awadeshwar Prasad,Bihar,Congress,10/12/1956 02/04/1958,Retirement
