s_no,member_name,state,party,term,vacate_reason
110,Aram Dr. M.,Nominated,NOM.,27/08/1993 26/08/1999,"24/05/1997
Death"
111,Arif Shri Mohammed Usman,Rajasthan,Congress,03/04/1970 02/04/1976,Retirement
111,Arif Shri Mohammed Usman,Rajasthan,Congress,03/04/1976 02/04/1982,Retirement
111,Arif Shri Mohammed Usman,Rajasthan,Congress,03/04/1982 02/04/1988,"31/03/1985
Resignation"
112,Arjunan Shri K. R.,Tamil Nadu,AIADMK,25/07/2013 24/07/2019,Retirement
113,Arora Shri Arjun,Uttar Pradesh,Congress,01/08/1960 02/04/1966,Retirement
113,Arora Shri Arjun,Uttar Pradesh,Congress,03/04/1966 02/04/1972,Retirement
114,Arun Singh Shri,Uttar Pradesh,INC,03/04/1984 02/04/1990,"17/08/1988
Resignation"
115,Arundale Smt. Rukmini Devi,Nominated,NOM.,03/04/1952 02/04/1956,Retirement
115,Arundale Smt. Rukmini Devi,Nominated,NOM.,03/04/1956 02/04/1962,Retirement
116,Arya Shri Kumbha Ram,Rajasthan,Congress,03/04/1960 26/10/1964,Retirement
116,Arya Shri Kumbha Ram,Rajasthan,Congress,03/04/1968 02/04/1974,Retirement
117,Arya Shri R.N.,Uttar Pradesh,BSP,26/11/1996 25/11/2002,Retirement
118,Ashk Ali Tak Shri,Rajasthan,INC,05/07/2010 04/07/2016,Retirement
119,Ashwani Kumar Shri,Punjab,INC,21/05/2002 09/04/2004,Retirement
119,Ashwani Kumar Shri,Punjab,INC,10/04/2004 09/04/2010,Retirement
119,Ashwani Kumar Shri,Punjab,INC,10/04/2010 09/04/2016,Retirement
120,Ashwani Kumar Shri,Bihar,BJP,07/07/1980 06/07/1986,Retirement
120,Ashwani Kumar Shri,Bihar,BJP,07/07/1986 06/07/1992,Retirement
121,Aslam Chowdhary Mohammad,Jammu & Kashmir,INC,20/06/2006 29/11/2008,Retirement
122,Asthana Shri K.B.,Uttar Pradesh,JP,14/07/1977 02/04/1980,Retirement
123,Asthana Shri Lila Dhar,Uttar Pradesh,Congress,03/04/1962 02/04/1968,Retirement
124,Atwal Shri Surjit Singh,Punjab,Congress,03/04/1962 02/04/1968,Retirement
125,Aurora Sardar Jagjit Singh,Punjab,AD,05/07/1986 04/07/1992,Retirement
126,Austin Shri S.,Tamil Nadu,AIADMK,30/06/1992 29/06/1998,Retirement
127,Avergoankar Shri R.D. Jagtap,Maharashtra,CONG(I),03/04/1974 02/04/1980,Retirement
128,Ayyangar Shri Narasimha Gopalaswami,Madras,Congress,03/04/1952 02/04/1956,"10/02/1953
Death"
129,Ayyar Shri Alladi Krishnaswami,Nominated,NOM.,03/04/1952 02/04/1958,"03/10/1953
Death"
130,Azad Shri Gandhi,Uttar Pradesh,BSP,26/11/1996 25/11/2002,Retirement
130,Azad Shri Gandhi,Uttar Pradesh,BSP,26/11/2002 25/11/2008,Retirement
131,Azmi Shri Abu Asim,Uttar Pradesh,SP,26/11/2002 25/11/2008,Retirement
132,Azmi Maulana Obaidullah Khan,Uttar Pradesh,JD,03/04/1990 02/04/1996,Retirement
132,Azmi Maulana Obaidullah Khan,Bihar,JD,10/04/1996 14/11/2000,Reorganisation of the State
132,Azmi Maulana Obaidullah Khan,Madhya Pradesh,INC,10/04/2002 09/04/2008,Retirement
133,Azmi Smt. Shabana,Nominated,NOM.,27/08/1997 26/08/2003,Retirement
1,Babar Dr. Sarojini,Maharashtra,Congress,03/04/1968 02/04/1974,Retirement
2,Baby Shri M.A.,Kerala,CPI(M),03/04/1986 02/04/1992,Retirement
2,Baby Shri M.A.,Kerala,CPI(M),03/04/1992 02/04/1998,Retirement
3,Bachani Shri Lekhraj,Gujarat,BJP,03/04/2000 02/04/2006,Retirement
4,Bachchan Dr. Harivansh Rai,Nominated,NOM.,03/04/1966 02/04/1972,Retirement
5,Badnore Shri V.P. Singh,Rajasthan,INC,05/07/2010 04/07/2016,Retirement
6,Bagaitkar Shri Sadasiv,Maharashtra,JP,03/04/1978 02/04/1984,"05/12/1983
Death"
7,Bagchi Shri Chandan K.,Bihar,CONG(I),12/04/1983 09/04/1984,Retirement
8,Baghel Dr. K.C.,Madhya Pradesh,IND.,03/04/1964 02/04/1970,"22/02/1969
Death"
9,Baghel Prof. S.P.Singh,Uttar Pradesh,BSP,05/07/2010 04/07/2016,"12/03/2014
Resignation"
10,Bagrodia Shri Santosh,Rajasthan,CONG(I),05/07/1986 04/07/1992,Retirement
10,Bagrodia Shri Santosh,Rajasthan,INC,05/07/1998 04/07/2004,Retirement
10,Bagrodia Shri Santosh,Rajasthan,INC,05/07/2004 04/07/2010,Retirement
11,Baharul Islam Shri,Assam,Congress,03/04/1962 02/04/1968,Retirement
11,Baharul Islam Shri,Assam,Congress,03/04/1968 02/04/1974,"20/01/1972
Resignation"
11,Baharul Islam Shri,Assam,Congress,15/06/1983 14/06/1989,Retirement
12,Bairagi Shri Balkavi,Madhya Pradesh,INC,30/06/1998 29/06/2004,Retirement
13,Bajaj Shri Rahul,Maharashtra,IND.,20/06/2006 04/07/2010,Retirement
14,Bajwa Shri T.S.,Jammu & Kashmir,PDP,26/11/2002 25/11/2008,Retirement
15,Bajwa Shri Varinder Singh,Punjab,SAD,10/04/2004 09/04/2010,Retirement
16,Bakht Shri Sikander,Madhya Pradesh,BJP,10/04/1990 09/04/1996,Retirement
16,Bakht Shri Sikander,Madhya Pradesh,BJP,10/04/1996 09/04/2002,Retirement
17,Balaganga Shri N.,Tamil Nadu,AIADMK,03/04/2008 02/04/2014,Retirement
18,Balagopal Shri K.N.,Kerala,CPI(M),03/04/2010 02/04/2016,Retirement
19,Balan Shri M.C.,Tamil Nadu,AIADMK,03/04/1972 02/04/1978,Retirement
20,Balanandan Shri E.,Kerala,CPI(M),02/07/1988 01/07/1994,Retirement
20,Balanandan Shri E.,Kerala,CPI(M),02/07/1994 01/07/2000,Retirement
21,Balaram Shri N.E.,Kerala,CPI,22/04/1985 21/04/1991,Retirement
21,Balaram Shri N.E.,Kerala,CPI,22/04/1991 21/04/1997,"16/07/1994
Death"
22,Balbir Singh Shri,Punjab,CONG(I),10/04/1992 09/04/1998,Retirement
23,Baldev Prakash Dr.,Uttar Pradesh,BJP,05/07/1992 04/07/1998,"17/11/1992
Death"
24,Baleshwar Dayal Shri,Madhya Pradesh,JAN,14/07/1977 09/04/1978,Retirement
24,Baleshwar Dayal Shri,Madhya Pradesh,JAN,10/04/1978 09/04/1984,Retirement
25,Bali Smt. Vyjayantimala,Nominated,NOM.,27/08/1993 26/08/1999,Retirement
26,Balihari Babu Shri,Uttar Pradesh,SP,03/04/2006 02/04/2012,"12/06/2009
Resignation"
27,Balmik Shri Achchhey Lal,Uttar Pradesh,CONG(I),31/01/1985 04/07/1986,Retirement
28,Balmiki Shri Krishan Lal,Rajasthan,BJP,04/04/2006 03/04/2012,"21/04/2010
Death"
29,Balmiki Shri Shiv Lal,Uttar Pradesh,CONG(I),16/09/1981 02/04/1982,Retirement
30,Balmuchu Dr. Pradeep Kumar,Jharkhand,INC,04/05/2012 03/05/2018,Retirement
31,Balram Das Shri,Madhya Pradesh,Congress,03/04/1970 02/04/1976,Retirement
31,Balram Das Shri,Madhya Pradesh,Congress,03/04/1976 02/04/1982,Retirement
32,Balu Shri T.R.,Tamil Nadu,DMK,30/06/1986 29/06/1992,Retirement
33,Balyawi Shri Gulam Rasool,Bihar,JD(U),23/06/2014 07/07/2016,Retirement
34,Banamali Babu Shri,Odisha,CONG(I),03/04/1982 02/04/1988,Retirement
35,Banarsi Das Shri,Uttar Pradesh,JAN,03/04/1972 02/04/1978,"28/06/1977
Resignation"
36,Bandyopadhyay Shri D.,West Bengal,AITC,19/08/2011 18/08/2017,Retirement
37,Banerjee Shri B.N.,Nominated,NOM.,03/04/1976 02/04/1982,Retirement
38,Banerjee Shri Jaharlal,West Bengal,Congress,10/07/1975 09/07/1981,Retirement
39,Banerjee Shri Ritabrata,West Bengal,IND.,03/04/2014 02/04/2020,Retirement
40,Banerjee Shri Satyapriya,West Bengal,FB(M),03/04/1952 02/04/1956,Retirement
40,Banerjee Shri Satyapriya,West Bengal,FB(M),03/04/1956 02/04/1960,"23/03/1957
Death"
41,Banerjee Shri Tara Shankar,Nominated,NOM.,03/04/1960 02/04/1966,Retirement
42,Bangaru Laxman Shri,Gujarat,BJP,10/04/1996 09/04/2002,Retirement
43,Bansal Shri Pawan Kumar,Punjab,INC,10/04/1984 09/04/1990,Retirement
44,Bansi Lal Shri,Punjab,Congress,03/04/1960 02/04/1966,Retirement
44,Bansi Lal Shri,Punjab,IND.,03/04/1976 02/04/1982,07/01/80
